GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cart,ru.netology.domain,PurchaseItem,164,21,22,0,6,2,25,2,14,2
cart,ru.netology.manager,CartManager,0,109,0,6,0,23,0,7,0,4
